Customer,DBA Name,TDLR Number,City,State,Zip code
ALFREDO'S WRECKER SERVICE,,0600864VSF,MERCEDES,TX,78570
ALFREDO'S WRECKER SERVICE,,005893546C,MERCEDES,TX,78570
ALLAN MOTOR WRECKER SERVICE LLC,,0658233VSF,HOUSTON,TX,77060
ALLAN MOTORS & WRECKER SERVICE,ALLAN MOTORS & WRECKER SERVICE LLC,006471693C (Suspended!),HOUSTON,TX,77060
ALLAN MOTORS & WRECKER SERVICE LLC,,006582323C,HOUSTON,TX,77060
ALLAN'S WRECKER SERVICE INC,,0655342VSF,INEZ,TX,77968
ALLAN'S WRECKER SERVICE INC,,0656197VSF,INEZ,TX,77968
ALLAN'S WRECKER SERVICE INC,,0644035VSF,INEZ,TX,77968
"ALLAN'S WRECKER SERVICE, INC",,0000094VSF,INEZ,TX,77968
"ALLAN'S WRECKER SERVICE, INC.",,005062282C,INEZ,TX,77901
ALLIED WRECKER SERVICE LLC,,0658041VSF,CISCO,TX,76437
ALLIED WRECKER SERVICE LLC,,006580421C,RANGER,TX,76470
ALLPOINTS WRECKER SERVICE LLC,,006588859C,SPRING,TX,77386
"ALLSTATE AUTO WRECKING, INC",,005062742C,GRAND PRAIRIE,TX,75051
ALLSTATE WRECKER AND STORAGE,,0651180VSF,HOUSTON,TX,77014
ALMA'S WRECKER SERVICE,,006183440C,GARCIASVILLE,TX,78547
ALPHA WRECKER SERVICE LLC,,006518130C,HOUSTON,TX,77041
AM/PM WRECKER SERVICE,,006064791C,ELMENDORF,TX,78112
AMANDO'S WRECKER SERVICE LLC,,0645979VSF,ROMA,TX,78584
"AMANDO'S WRECKER SERVICE, LLC","AMANDO'S WRECKER SERVICE, LLC",006458673C,ROMA,TX,78584
